Approval Date,Approval Date,Company
2019-09-26,09/26/2019,SCPL
2019-09-26,09/26/2019,ABBV
2019-09-27,09/27/2019,TARO
2019-09-27,09/27/2019,GILD
2019-09-30,09/30/2019,AZN
2019-09-30,09/30/2019,ATH.U
2019-09-30,09/30/2019,SCPL
2019-09-30,09/30/2019,SAGE
2018-01-04,01/04/2018,AMGN
2018-01-08,01/08/2018,NVS
2018-01-09,01/09/2018,WWD
2018-01-09,01/09/2018,CEL.P
2018-01-10,01/10/2018,ECL
2018-01-10,01/10/2018,REGN
2018-01-12,01/12/2018,NVS
2018-01-12,01/12/2018,EXEL
2018-01-12,01/12/2018,AZN
2018-01-12,01/12/2018,XENT
2018-01-18,01/18/2018,PFE
2018-01-19,01/19/2018,AMRX
2018-01-22,01/22/2018,PFE
2018-01-23,01/23/2018,AZN
2018-01-24,01/24/2018,PRGO
2018-01-24,01/24/2018,AMGN
2018-01-24,01/24/2018,TARO
2018-01-25,01/25/2018,BMY
2018-01-25,01/25/2018,CEL.P
2018-01-26,01/26/2018,SCPL
2018-01-26,01/26/2018,GILD
2018-01-29,01/29/2018,GOL
2018-01-29,01/29/2018,SCPL
2018-10-02,10/02/2018,GSK
2018-10-03,10/03/2018,NATR
2018-10-03,10/03/2018,EQRR
2018-10-04,10/04/2018,TARO
2018-10-05,10/05/2018,BHC
2018-10-10,10/10/2018,GILD
2018-10-12,10/12/2018,MRK
2018-10-12,10/12/2018,OGN
2018-10-12,10/12/2018,CL
2018-10-12,10/12/2018,NATR
2018-10-16,10/16/2018,ABBV
2018-10-16,10/16/2018,AMRX
2018-10-16,10/16/2018,GOL
2018-10-16,10/16/2018,PFE
2018-10-17,10/17/2018,TARO
2018-10-17,10/17/2018,AMRX
2018-10-18,10/18/2018,CTVA
2018-10-18,10/18/2018,AMGN
2018-10-18,10/18/2018,PFE
2018-10-19,10/19/2018,NVO
2018-10-19,10/19/2018,REGN
2018-10-22,10/22/2018,TARO
2018-10-22,10/22/2018,AMRX
2018-10-23,10/23/2018,SCPL
2018-10-23,10/23/2018,GILD
2018-10-23,10/23/2018,GOL
2018-10-25,10/25/2018,MNKD
